EntityName,EntityTypeName,lat,lon
Lægeklinik Ølgod                                            ,General Practitoner,55.8082941862532,8.61669581940774
Lægeklinik Vestergade v/Lukasz Nowak                        ,General Practitoner,55.8082941864471,8.61669588163094
Rådhusklinikken                                             ,General Practitoner,55.8082941864745,8.616695890406
Lægerne i Hanstholm                                         ,General Practitoner,57.1123581626179,8.60678228810343
Lægerne Vestergade 8                                        ,General Practitoner,56.3582209125095,8.61567741867626
Lægerne Sct. Jørgensgade 17                                 ,General Practitoner,56.3612343511541,8.61606683884066
Lægeklinikken Rådhusstræde                                  ,General Practitoner,56.3599654818103,8.61647672137523
Holstebro Løveapotek                                        ,Pharmacy,56.3579616333344,8.61733725827175
Niels Chr. Bendtsen                                         ,General Practitoner,56.3575758747666,8.61836897311273
Lægeklinikken Brotorvet                                     ,General Practitoner,56.357575874794,8.61836898201354
Midtbyens Lægehus                                           ,General Practitoner,56.3578595997728,8.61903905559263
alles Lægehus Holstebro                                     ,General Practitoner,56.3578595998225,8.61903907177605
Lægerne ved klippen                                         ,General Practitoner,56.3580005087923,8.61940051298694
Holstebro Koala Apotek                                      ,Pharmacy,56.3621526791756,8.61942534019449
Almen lægeklinik Holstebro                                  ,General Practitoner,56.3621526792055,8.61942534990562
Lægeklinikken Susanne Schovsbo                              ,General Practitoner,56.3578558699927,8.61949209821031
Lægerne i Center for Sundhed                                ,General Practitoner,56.3712618012901,8.62290272938068
HelsecenterMidt                                             ,General Practitoner,55.9585315458414,8.64437539489335
Alment praktiserende læge Karstensen Aps                    ,General Practitoner,54.9675516557946,8.69554848688751
Familielægerne i Bramming                                   ,General Practitoner,55.469558890368,8.69774036203196
Lægerne Thuesvej                                            ,General Practitoner,55.4647842129362,8.69894507326813
Thisted Svane Apotek                                        ,Pharmacy,56.9692432731962,8.68713569908446
Lægerne Sct Knuds Alle                                      ,General Practitoner,55.4650011225755,8.70206424805042
Bramminge apotek                                            ,Pharmacy,55.4647284771306,8.7025376216461
Thisted Løve apotek                                         ,Pharmacy,56.9515259467115,8.69320884699483
Lægerne Ferjani og Rasmussen                                ,General Practitoner,56.951625610521,8.69476573882903
Læge Kirstine Agger                                         ,General Practitoner,56.9516256106314,8.69476578403881
Toldbodlægerne                                              ,General Practitoner,56.9516256108399,8.69476586952641
Familielægerne Thy                                          ,General Practitoner,56.9516256108781,8.69476588514433
